ID,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type,From_Cache_la_Poudre
0037661125414,2522,164,10,150,-5,1087,230,243,145,1463,2705,0
0040089614705,2285,20,21,417,122,1452,201,191,120,942,4703,1
0040376059721,2173,347,33,60,18,1348,140,168,153,1150,4703,1
0040840964353,2396,54,25,319,6,1110,225,177,72,990,4703,1
0042099984199,2407,271,16,210,66,67,178,244,205,589,4703,1
0043347855957,2320,359,21,90,26,967,183,195,146,684,2717,1
0043402267701,2294,312,22,150,47,765,156,218,199,417,4703,1
0043918637753,2376,106,18,108,10,607,248,215,89,722,2702,1
0044737893566,2551,171,18,175,42,1945,229,245,140,1754,2703,0
0045057171013,2363,338,12,481,139,1282,194,223,168,564,2717,1
0046016208849,2404,105,11,0,0,832,240,226,115,1436,2717,1
0046894157956,2256,359,19,0,0,864,188,202,149,516,4703,1
0047622459656,2431,23,24,256,80,666,198,180,109,1234,4703,1
0047957979614,2373,122,31,216,57,1116,254,198,46,850,2704,1
0048555082843,2525,174,19,30,1,2359,228,246,142,845,2705,0
0050045770642,2647,351,6,390,94,636,209,229,159,1126,2703,0
0050814548557,2137,11,29,85,12,569,176,168,117,589,4703,1
0052249758501,2456,235,17,30,19,1092,189,253,198,738,5101,0
0053476121335,2415,306,21,67,35,930,157,222,204,1328,4703,1
0055535165854,2225,326,25,192,44,1173,152,204,188,1132,4703,1
0056668058198,2234,339,19,376,60,469,176,209,170,319,2717,1
0057483498077,2645,131,17,201,47,2120,245,228,105,2554,2705,0
0058486626788,2421,300,20,42,13,725,160,227,206,1554,4703,1
0058778342518,2429,98,24,277,93,443,251,198,61,778,2704,0
0059511085839,2005,334,10,0,0,42,197,227,169,765,6102,1
0060039842019,2257,351,42,120,60,1530,113,134,135,966,4703,1
0060971093111,2532,329,8,402,49,150,200,230,169,1944,2717,1
0061674160520,2604,188,19,67,20,1657,218,250,158,2754,2705,0
0061697858268,2407,183,33,95,51,391,208,240,139,1120,2705,1
0061973078564,2637,242,14,60,11,1524,193,251,195,162,2705,0
0065195928041,2304,210,14,342,41,806,208,253,177,674,2717,1
0065747959288,2122,337,29,30,11,541,143,186,174,408,4703,1
0065893482999,2518,174,28,285,132,306,224,241,131,990,2705,0
0066162514571,2278,163,19,90,26,361,234,241,129,457,2705,1
0067885944584,2344,276,37,216,137,700,101,219,244,1667,4703,1
0068140076859,2193,8,41,518,36,582,140,126,97,805,4703,1
0068211358303,2589,132,14,190,65,1575,242,232,116,1537,2705,0
0069021407311,2068,65,30,180,59,283,232,165,43,285,2717,1
0069840448533,2216,306,22,30,15,782,154,221,205,1537,2705,1
0070278856777,2292,213,18,350,29,807,201,254,184,693,2717,1
0071125951041,2426,81,17,30,8,731,241,208,91,1148,2706,1
0071441568817,2277,320,15,190,105,571,180,225,184,481,2703,1
0072295738081,2000,21,25,0,0,360,194,178,110,680,4703,1
0072673359136,2591,178,9,379,83,812,224,246,154,1392,2703,0
0073031351663,2522,156,11,150,62,1060,233,241,139,1465,2705,0
0073748792698,2324,298,11,277,149,1317,188,236,188,537,4703,1
0076082145557,2710,103,16,218,55,2356,245,217,96,2438,4704,0
0076543422166,2305,107,16,162,41,95,246,219,97,212,4704,1
0076550829750,2284,296,23,192,98,1084,148,226,215,767,2717,1
0076580747789,2604,175,23,60,20,1958,225,245,140,1440,2705,0
0076943602595,2350,278,32,277,184,1316,117,226,238,649,4703,1
0078370931019,2212,336,32,201,109,1062,134,180,175,618,4703,1
0080281378883,2458,298,17,297,133,350,172,232,200,395,4703,1
0080931544644,2057,258,27,150,62,190,146,243,229,301,2706,1
0081008371460,2045,17,31,120,80,180,179,160,102,134,4703,1
0081336376014,2030,300,11,210,35,270,188,235,188,218,2706,1
0082200833695,2553,111,4,582,11,968,227,235,143,1194,2703,0
0082682975319,2477,315,12,175,38,376,188,230,182,1931,2717,1
0082989903145,2632,258,12,300,28,1788,191,247,195,721,2703,0
0083016448240,2738,123,22,255,92,2270,251,217,83,2330,2705,0
0083477199361,2145,351,20,30,6,976,181,203,157,671,5101,1
0084210165544,2659,154,23,120,52,1932,240,234,111,2718,2705,0
0084343648976,2207,18,18,30,10,1535,203,199,129,858,4703,1
0087355192291,2564,210,34,190,-1,1184,172,247,188,1354,2704,0
0087594689224,2303,162,8,60,15,192,229,242,146,484,4704,1
0087652828862,2745,54,13,150,15,2287,227,212,116,2363,7756,0
0088488086983,2643,169,14,212,36,2106,230,245,143,2558,2705,0
0090348879611,2597,302,12,331,-2,842,186,234,189,1142,2705,0
0090639505199,2282,32,24,90,38,1259,206,179,97,511,4703,1
0091360716533,2612,139,5,319,-7,1747,228,238,144,1921,2703,0
0091787291491,2544,205,11,90,9,1256,213,250,171,2065,2705,0
0092373369174,2523,118,17,242,58,573,247,223,98,1065,2703,0
0092654313391,2242,32,20,390,33,467,211,191,109,319,2717,1
0093400556116,2274,103,19,0,0,0,248,212,85,930,2704,0
0093730980209,2360,96,25,85,20,90,250,194,56,875,2705,1
0094015927544,2262,135,3,402,104,1379,224,238,149,847,4703,1
0094376303773,2323,39,22,192,80,624,215,186,97,691,4703,1
0095055147435,2232,333,19,30,12,870,173,212,176,313,4703,1
0095229131628,2599,192,19,283,-4,1510,215,251,162,895,2703,0
0095731058871,2347,351,32,272,191,1211,147,168,147,1259,4703,1
0095880638290,2313,145,30,90,33,1549,245,219,80,741,2704,1
0096636304643,2619,226,30,67,23,2969,165,251,209,1266,2705,0
0096679393505,2155,351,6,255,91,525,209,229,159,931,2703,1
0097207732445,2450,107,17,30,9,560,247,217,92,1323,2706,1
0098063551225,2214,126,10,212,17,85,237,233,126,256,2703,1
0098539284855,2043,82,29,150,23,255,245,177,42,641,2702,1
0098878576697,2070,352,40,60,59,124,122,141,136,638,4703,1
0099025254666,1959,113,28,242,83,277,254,199,52,942,2704,1
0099251853671,2129,197,33,242,110,598,191,245,164,324,2702,1
0100116086407,2341,40,28,295,105,1249,209,167,76,939,4703,1
0100651703937,2317,343,14,342,160,738,191,218,165,742,4703,1
0101846620701,2565,174,18,0,0,1637,228,246,143,1237,6102,0
0102116754164,2174,69,20,497,214,541,237,196,82,395,2702,1
0102348183909,2090,311,32,60,31,924,119,200,212,272,4703,1
0102389866649,2567,96,33,459,159,430,251,174,24,1337,2705,0
0102915613037,2073,261,30,30,15,937,134,239,235,242,6102,1
0103570149220,2493,193,15,30,0,932,217,251,164,750,2705,0
0104341047554,2309,42,18,150,64,240,220,199,108,1622,2703,1
0104407153991,2226,290,28,408,123,509,132,223,226,421,4703,1
0106510693807,2367,294,18,85,24,242,165,232,206,769,4703,1
0106665269025,2304,332,7,0,0,474,204,231,167,1523,2705,1
0110425015197,2611,72,15,497,91,1124,236,209,100,815,4704,0
0110657722115,2616,230,26,90,39,1425,172,253,208,1341,2704,0
0111219335484,2201,336,20,0,0,1209,173,209,173,573,4703,1
0111350378876,2352,209,21,85,39,684,199,254,182,641,2704,1
0112932434911,2704,178,6,379,149,2468,223,244,155,1026,2703,0
0113857189344,2297,354,18,443,208,660,188,206,154,324,2717,1
0113927676781,2154,282,39,150,73,1374,91,211,244,644,4703,1
0114128135572,2273,23,24,309,127,1360,198,180,109,793,4703,1
0114328807064,2270,354,34,150,120,1290,143,158,138,1310,4703,1
0114413951801,2545,336,28,0,0,1513,147,190,175,566,4703,0
0115185273108,2138,83,27,437,178,485,245,182,49,421,2702,1
0115306022868,2250,241,12,42,3,459,197,250,190,1785,2705,1
0115816973575,2485,12,15,390,84,1095,203,207,139,875,4703,0
0116037932839,2190,280,19,67,18,1087,163,238,213,459,4703,1
0116448775643,2018,48,33,60,35,228,211,149,48,661,2702,1
0116672766554,2576,146,14,30,3,1471,238,238,127,2589,2705,0
0117075544473,2267,64,22,95,54,1350,234,189,77,642,2705,1
0118306193774,2561,170,34,532,153,511,222,231,112,1360,2705,0
0118463175033,2679,162,13,295,149,2379,232,243,139,1008,2705,0
0118768845464,2226,354,34,210,101,1065,145,161,139,1170,4703,1
0123220309910,2530,251,23,366,157,750,164,249,218,1445,4704,0
0123633508054,2217,318,30,30,7,805,128,197,201,618,4703,1
0123922310993,2015,43,30,90,32,216,210,160,65,633,2702,1
0124129497012,2727,121,22,234,85,2285,251,216,80,2347,2705,0
0124790542882,2450,171,22,270,-99,1230,229,243,134,1624,2705,0
0125480838575,2636,138,13,335,-3,824,239,235,123,618,2703,0
0125692029839,2484,103,24,30,9,912,251,202,65,785,2705,0
0126217925827,2508,203,28,228,99,1356,193,251,176,926,2705,0
0126763541069,2746,156,21,240,80,2160,238,237,118,2315,2705,0
0126879076745,2348,284,19,540,223,750,163,237,212,1500,4703,1
0127269045211,2293,298,18,67,18,495,167,231,203,404,4703,1
0128420366015,2217,43,30,234,75,577,210,160,66,1679,4703,1
0128574874145,2424,313,18,42,13,631,168,223,194,1648,2717,1
0128782772042,2288,103,33,67,41,1499,253,180,27,376,2704,1
0129060290593,2456,321,17,60,17,402,173,220,186,1871,2717,1
0129267347168,2414,172,7,0,0,800,225,243,152,1106,2703,0
0129362827329,2271,15,34,30,19,1486,169,150,99,1027,4703,1
0129992461542,2516,80,34,85,38,1557,242,160,20,999,2704,0
0132945358776,2509,141,27,350,-34,362,247,221,84,1172,2705,0
0133016197423,2346,116,20,300,31,420,249,217,87,1129,2704,1
0133128926232,2580,155,16,510,125,511,237,240,127,541,2703,0
0134121427986,2610,204,20,30,5,2079,205,254,176,1477,6102,0
0135799478928,2481,120,8,120,-4,216,234,234,131,1237,4703,0
0136399848746,2264,32,31,301,155,840,196,155,76,277,4703,1
0137555123479,2635,186,9,30,4,1697,222,247,158,300,2705,0
0137740571849,2563,135,13,190,-7,1262,240,234,121,1362,2703,0
0138532718633,2640,108,20,175,59,1676,250,213,82,1107,4704,0
0138718827005,2435,284,30,300,-7,451,123,224,233,1840,4703,1
0138824711564,2106,26,30,108,-4,384,191,160,89,771,2702,1
0139008304411,2371,63,13,67,-6,638,231,212,111,805,2703,1
0139207151557,2775,160,16,390,183,2953,235,242,133,1383,2705,0
0139336686845,2421,32,22,153,37,636,209,186,104,1374,2706,1
0140133271851,2313,14,29,300,33,875,180,167,111,247,4703,1
0140376813986,2621,10,14,297,62,503,204,212,143,984,4703,0
0142166847614,2154,28,35,362,103,450,184,143,72,430,4703,1
0142828452675,2284,135,15,0,0,1480,242,233,116,735,2704,1
0144868795835,2809,228,20,418,164,3120,187,254,199,1519,2705,0
0145893508315,2380,349,29,330,198,1188,155,180,155,1194,4703,1
0146641388883,2422,53,21,30,6,792,226,191,88,912,2702,1
0146824463109,2215,336,42,90,66,335,96,147,168,484,4703,1
0147819933225,2173,341,16,541,128,591,186,215,167,872,4703,1
0148191465489,2495,353,15,306,52,170,193,213,157,1839,2717,1
0148243172464,2055,352,24,30,8,914,172,192,153,571,6102,1
0149965222079,2000,77,40,90,60,108,234,136,0,324,2702,1
0150205860869,2378,5,13,242,121,1384,202,213,147,1008,2703,1
0150218197051,2394,315,34,162,68,283,113,191,208,1513,4703,1
0150423249880,2017,43,40,85,63,150,194,124,32,277,4703,1
0151916321694,2530,284,8,323,47,210,198,240,181,1860,2717,1
0152451524571,2649,89,18,283,92,2155,244,209,88,778,2703,0
0152644440695,2145,160,22,180,81,547,237,239,121,993,2703,1
0153578408119,2637,135,0,390,211,2078,219,238,156,443,2703,0
0153739641935,2423,165,23,150,48,150,233,240,124,949,2703,0
0154383753555,2570,160,13,566,110,595,233,242,138,716,2703,0
0154504345157,2441,173,28,228,45,242,225,240,128,845,2703,0
0155771557168,2278,244,38,513,136,764,121,238,235,902,2702,1
0158535831696,2268,130,21,42,10,807,249,223,92,589,2705,1
0158855509091,2441,255,30,30,11,911,139,243,232,858,2705,0
0159474161653,2837,92,19,309,81,3154,246,208,84,1521,2705,0
0159779812014,2162,347,18,210,98,524,182,207,162,437,4703,1
0159929684492,2633,69,12,433,77,1112,233,216,113,840,4704,0
0164486864478,2175,139,30,60,24,1425,249,214,70,272,2704,1
0164791010096,2158,132,22,30,9,190,249,222,89,571,2702,1
0165028746122,2353,304,14,150,63,865,181,232,191,569,2717,1
0165077146362,2337,18,19,371,113,1168,201,196,126,430,4703,1
0165655711180,2521,213,36,127,92,1802,164,245,192,371,2705,0
0167877707767,2506,19,9,162,23,480,214,220,143,1495,2717,1
0171615383878,2352,329,28,95,43,216,141,193,185,124,4703,1
0171741352113,2292,162,15,446,27,938,233,243,136,552,2703,1
0173281836481,2120,145,39,180,101,503,240,201,51,258,2702,1
0173792009022,2500,350,7,324,92,480,208,228,159,1655,2717,1
0174184047509,1920,61,29,90,53,120,229,167,51,1063,2704,1
0174638302659,1977,296,41,108,83,134,80,192,235,182,4703,1
0175570558128,2522,198,18,42,10,1082,212,252,169,1581,2705,0
0175905162167,2330,313,23,228,99,892,153,216,200,242,4703,1
0177314187243,2695,134,15,218,8,1398,242,232,116,808,2703,0
0179266996225,2317,243,32,510,179,524,141,245,228,1712,4703,1
0180210543105,2317,192,10,150,60,1003,219,248,162,824,2717,1
0180657284449,2286,6,33,391,129,716,159,155,117,816,4703,1
0180968295530,2355,333,26,180,98,1530,153,198,179,886,2703,1
0180996069837,2343,73,7,0,0,256,229,226,131,845,6102,1
0181064261030,2434,7,30,319,9,722,170,166,121,1544,4703,1
0181137691597,2504,46,26,162,27,853,218,174,76,934,4703,1
0181211371377,2429,276,19,362,133,331,165,240,213,899,4704,1
0181346644346,2501,183,21,150,41,2054,221,249,151,201,2705,0
0181774005634,2525,180,17,0,0,1194,224,248,151,1434,2704,0
0182187516144,2569,111,27,618,-30,603,254,201,57,1337,2705,0
0182895653735,2458,226,24,201,32,1961,178,254,203,67,2705,0
0185109562908,2604,78,12,309,76,603,235,219,114,1528,2703,0
0186034570044,2394,258,25,210,65,108,154,245,224,543,4703,1
0186196439456,2225,334,33,108,85,1195,129,178,177,1505,4703,1
0186851875889,2323,345,29,242,31,1084,152,182,160,1159,4703,1
0187394693206,2238,306,21,30,7,870,159,223,203,361,4703,1
0187500011993,2529,154,14,120,24,953,236,240,130,1527,2705,0
0189064397162,2338,301,7,283,62,551,201,237,176,671,4703,1
0190577850471,2291,289,28,90,53,825,129,223,227,691,4703,1
0190634118582,2482,279,18,300,92,780,169,240,209,1528,4703,0
0192338553188,2252,36,23,212,92,560,212,183,97,1614,4703,1
0193025551319,2547,214,29,124,72,1566,179,252,193,1224,2704,0
0194416892653,2157,2,41,60,45,661,132,131,112,408,4703,1
0195182885306,2651,348,7,454,123,741,207,229,160,1045,2703,0
0195532242773,2122,107,28,0,0,510,254,194,48,693,2702,1
0196537791068,2140,61,35,162,76,210,224,146,26,470,2702,1
0196780069846,2104,59,23,180,67,313,230,184,75,458,2702,1
0197886027686,2291,335,34,272,155,1003,124,172,175,454,4703,1
0198338960544,2395,77,16,30,8,716,238,210,98,849,2702,1
0198506173875,2048,336,39,150,121,170,109,158,171,661,4703,1
0198669542808,2273,48,27,170,76,1620,218,171,71,872,4703,1
0198829475236,2375,225,3,418,207,1440,215,242,165,713,2717,1
0199675649161,2581,133,18,134,22,1485,246,228,104,2449,2705,0
0200126169739,2479,122,26,457,226,875,253,208,65,731,2703,1
0201050474494,2525,113,25,228,16,1150,253,205,63,1084,2705,0
0201477208658,2601,97,20,525,197,1090,248,208,80,849,2705,0
0202204574633,2573,244,43,175,4,1248,102,230,239,1339,2704,0
0202368467086,2395,223,12,0,0,720,204,251,183,1053,2704,0
0204190302900,2681,164,15,376,73,566,233,243,137,90,2705,0
0205394046379,2415,318,23,210,85,752,153,212,196,547,4703,1
0205987270914,2020,7,35,134,97,175,157,151,114,618,4703,1
0207068293843,2502,258,7,0,0,1670,204,244,179,497,2705,0
0207207504151,2261,358,31,242,75,990,159,169,136,1333,4703,1
0207628497391,2310,275,23,451,172,730,152,238,222,1503,2702,1
0207804157675,2200,316,37,175,78,1080,101,183,207,1172,4703,1
0207933600073,2337,297,30,124,47,792,123,214,224,633,2717,1
0208542576650,2102,91,25,297,73,342,249,191,55,540,2702,1
0208905899280,2566,190,26,124,59,1786,211,249,157,1579,2703,0
0209314237687,2399,137,35,234,137,1380,248,203,51,576,2704,1
0211821455775,2684,148,15,242,28,933,239,237,124,514,2703,0
0213636340000,2336,243,35,503,6,785,131,242,231,854,2702,1
0213717349946,2401,26,18,247,63,1396,209,198,120,713,2717,1
0213995070310,2016,2,17,350,36,467,194,206,147,390,2706,1
0217941742245,2423,135,26,67,39,457,250,218,78,1224,2705,1
0218972382943,2623,204,13,437,84,1600,212,252,172,1999,2705,0
0219853889049,2703,101,11,591,294,569,239,225,115,1495,2705,0
0222612889853,2353,102,21,30,10,268,249,208,77,874,6102,1
0222708086258,2152,21,40,210,126,309,162,126,71,450,4703,1
0223646174359,2585,354,18,480,98,810,188,206,154,1082,4703,1
0225239388815,2127,66,29,192,16,426,233,169,48,769,2702,1
0227706381398,2420,14,11,366,168,1124,210,217,144,1140,2703,1
0228626760560,2043,67,23,190,83,240,235,188,73,424,2702,1
0228770020657,2710,148,18,277,81,2535,241,236,117,2230,2705,0
0230071279597,2394,350,12,470,152,1574,198,219,160,696,2717,1
0231281810464,2396,53,21,277,-19,738,226,191,88,671,4703,1
0231994234021,2561,300,9,313,103,751,195,237,182,1368,4704,0
0234593613914,2652,232,20,192,24,3141,184,253,202,1500,2705,0
0235527975085,2514,151,23,201,-35,1347,242,232,106,1259,2705,0
0236619372515,2251,2,34,67,46,540,152,154,123,600,4703,1
0237581450928,2562,211,27,134,81,1566,186,253,188,1240,2704,0
0237663771972,2161,337,12,30,8,1282,193,223,169,618,4703,1
0238975674913,2231,290,26,242,-43,408,138,225,223,594,4703,1
0239305925118,2281,18,16,366,193,570,206,205,133,382,4703,1
0239632689219,2698,211,6,95,6,1040,216,245,166,474,2703,0
0239948825325,2598,24,17,212,39,430,208,201,125,999,4703,0
0240502231148,2289,276,35,384,214,1507,107,222,243,953,4703,1
0241373421096,2401,18,18,85,28,541,203,199,129,1034,4703,1
0241425964830,2416,311,25,192,94,242,146,214,204,362,4703,1
0241801327778,2364,59,21,192,57,977,231,192,85,940,2704,1
0242409788879,2105,340,27,124,75,361,152,189,169,426,4703,1
0242461168442,2410,17,22,108,37,566,195,188,122,1050,4703,1
0242916986867,2486,207,32,124,66,1509,182,249,182,659,2705,0
0243116034525,2019,285,34,153,134,182,107,216,238,120,4703,1
0245151797922,2257,303,20,67,15,878,159,225,205,400,4703,1
0245265748070,2577,186,27,120,47,1040,213,246,149,1390,2705,0
0245518180947,2347,7,17,268,186,860,196,203,141,531,2717,1
0246370612096,2439,231,12,247,-26,1061,201,251,186,1329,2703,0
0247329958036,2810,116,20,595,181,2714,249,217,87,1911,4703,0
0248151511819,2792,97,21,362,59,3025,249,205,74,1426,2703,0
0248438960026,2262,347,29,210,72,1129,153,181,158,277,4703,1
0248555554931,2266,5,34,499,109,589,157,155,118,604,4703,1
0249830479499,2593,31,17,283,84,1325,214,202,119,633,4704,0
0250490916668,2248,332,21,255,74,1184,167,209,179,1087,4703,1
0250622208395,2377,138,12,379,90,1020,239,236,125,1008,2703,1
0252744150842,2619,134,16,402,107,738,243,231,112,1570,2703,0
0253667202076,2437,163,27,228,67,1173,234,235,114,1471,2705,0
0254677015984,1941,145,17,153,74,182,242,235,116,990,2704,1
0255140133198,2271,334,19,30,11,1148,175,212,175,361,2702,1
0255207116584,2421,145,12,648,115,767,237,238,130,1073,2717,1
0256295019603,2126,99,8,255,94,400,233,229,128,525,2702,1
0256389168750,2548,7,21,90,20,1296,190,194,136,1505,4703,0
0257312017459,2371,99,10,150,26,1387,237,226,119,509,2717,1
0257315480847,2286,352,34,443,129,636,142,162,144,646,4703,1
0257654677267,2462,107,14,90,12,794,243,223,106,228,2703,1
0257913636585,2444,105,23,162,-5,671,251,205,69,488,2702,1
0258761308723,2148,285,30,180,71,255,125,224,231,716,4703,1
0258834362829,2430,143,22,256,60,1200,245,229,101,1583,2705,0
0259591856644,2592,178,25,150,62,997,222,245,141,1381,2705,0
0260056276549,2305,66,12,42,16,1006,232,215,114,323,2717,1
0260466907507,2298,2,19,42,6,726,190,200,144,573,4703,1
0260529535616,2334,134,25,180,47,1142,250,219,81,1020,2704,1
0260630503764,2630,137,8,379,91,1516,233,237,135,1906,2705,0
0260953415652,2571,225,40,175,145,1897,138,241,213,330,2705,0
0261006730999,2267,335,34,277,151,1120,125,173,175,1184,4703,1
0261096383013,2178,64,36,182,114,242,226,143,19,366,2702,1
0262389686057,2285,69,30,323,78,365,235,166,41,1573,4703,1
0262597102561,2697,143,20,234,68,2496,244,231,107,2272,4703,0
0262619589417,2198,31,19,134,87,1087,211,194,112,1215,2702,1
0263858775999,2229,339,26,210,68,671,156,194,171,601,4703,1
0264141407269,2545,111,15,134,31,1471,244,223,104,1366,2705,0
0265397316176,2572,221,15,361,111,2296,201,253,185,391,2703,0
0265489890362,2545,105,15,30,-3,1328,244,221,103,1381,2705,0
0266176000996,2023,345,28,360,36,402,153,184,161,218,2706,1
0266990053215,2465,295,26,240,30,450,137,222,220,1816,4703,1
0267586277275,2591,199,19,309,84,2054,210,253,170,1790,2703,0
0268285610257,2348,62,9,127,19,1307,228,221,125,255,2717,1
0268664668237,2270,124,17,30,4,722,247,225,100,664,2705,1
0268723064215,2206,328,28,120,54,1087,141,195,187,750,4703,1
0268787692645,2475,197,34,319,78,270,189,244,164,914,2703,0
0268825446988,2575,123,21,313,139,323,250,219,87,268,2705,0
0269966096506,2292,93,21,323,166,916,247,204,75,306,2717,1
0270582304616,2250,321,18,240,-41,1224,170,219,187,1033,4703,1
0272719552600,2190,56,32,234,50,666,221,154,41,454,4703,1
0273081271144,2405,104,19,67,19,920,249,212,83,966,2717,1
0273521372165,2474,95,28,182,80,800,251,187,46,1260,2705,0
0273570255556,2120,58,28,540,159,655,226,168,57,285,2706,1
0274793625928,2534,279,3,360,30,90,211,239,166,1992,2717,1
0274824780008,2030,302,29,30,19,85,130,213,217,661,4703,1
0275457289845,2346,123,20,127,59,1359,249,221,90,895,2704,1
0276767679623,2103,326,38,240,197,339,103,169,190,443,4703,1
0277149924171,2431,105,28,247,-18,693,253,193,48,553,2702,1
0277609265325,2131,15,31,95,56,663,177,162,106,485,4703,1
0278045586715,2344,270,5,30,0,95,207,241,173,755,4703,1
0278224845336,2448,209,15,330,40,277,207,253,177,967,2703,0
0278945108161,2434,333,13,426,241,1061,191,223,172,1019,2717,1
0280274688979,2516,74,12,313,121,931,234,217,114,1292,2705,0
0281045459422,2390,109,20,242,-39,560,250,213,82,600,2702,1
0281048130007,2622,166,30,95,45,1889,229,234,113,1317,2705,0
0281308152060,2678,129,6,255,24,1849,230,236,139,2384,2703,0
0282768099421,2480,26,12,277,80,598,214,214,134,1570,2717,1
0282769174240,2030,50,34,67,35,150,213,145,40,300,2705,1
0282813966678,2352,54,27,309,112,1224,224,171,65,953,4703,1
0283898993849,2599,105,13,201,29,1471,241,224,110,1095,2703,0
0284264940511,2422,0,14,180,52,1061,199,214,151,937,2717,1
0285332342282,2124,121,27,391,189,402,253,207,64,481,2702,1
0286405886061,2371,199,16,285,84,1092,212,252,170,1073,2704,1
0287753926355,2428,111,26,60,6,706,253,201,58,313,2702,1
0288465822393,2117,91,29,324,102,570,249,182,0,579,2717,1
0289040395820,2458,68,11,361,96,324,232,218,118,402,2703,1
0289550321975,2334,185,5,454,72,124,221,244,158,513,2703,1
0290699920912,2780,61,10,268,50,2522,228,220,124,2115,7756,0
0291511489082,2776,124,3,323,46,2695,225,237,146,2040,4704,0
